ASV,kingdom,phylum,class,order,family,genus
ASV_1018,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1019,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
ASV_102,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>
ASV_1020,Bacteria,Actinobacteriota,Actinobacteria,<not present>,<not present>,<not present>
ASV_1021,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_1022,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
ASV_1023,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1024,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter
ASV_1025,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera
ASV_1026,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter
ASV_1027,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1028,Bacteria,Firmicutes,Bacilli,<not present>,<not present>,<not present>
ASV_1029,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_103,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2
ASV_1030,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV_1031,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
ASV_1032,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_1033,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_1034,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV_1035,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,<not present>
ASV_1036,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Jeotgalicoccus
ASV_1037,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>
ASV_1038,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1039,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,<not present>
ASV_104,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,<not present>
ASV_1040,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
ASV_1041,Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,Desulfotomaculaceae,Desulfohalotomaculum
ASV_1042,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,<not present>,<not present>
ASV_1043,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
ASV_1044,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>
ASV_1045,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1046,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_1047,Bacteria,Firmicutes,Clostridia,Eubacteriales,Garciellaceae,Rhabdanaerobium
ASV_1048,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,<not present>
ASV_1049,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,<not present>
ASV_105,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1050,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_1051,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>
ASV_1052,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
ASV_1053,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,<not present>
ASV_1054,Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,Desulfotomaculaceae,Desulfohalotomaculum
ASV_1055,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1056,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV_1057,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_1058,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,<not present>
ASV_1059,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>
ASV_106,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1060,Bacteria,Actinobacteriota,Actinobacteria,<not present>,<not present>,<not present>
ASV_1061,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella
ASV_1062,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus
ASV_1063,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
ASV_1064,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella
ASV_1065,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1066,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,<not present>
ASV_1067,Bacteria,Firmicutes,Clostridia,Eubacteriales,Alkalibaculum,<not present>
ASV_1068,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1069,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV_107,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1070,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
ASV_1071,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
ASV_1072,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_1073,Bacteria,Firmicutes,Bacilli,RF39,<not present>,<not present>
ASV_1074,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-001
ASV_1075,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,<not present>
ASV_1076,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Incertae Sedis
ASV_1077,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella
ASV_1078,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
ASV_1079,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus
ASV_108,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV_1080,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
ASV_1081,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus
ASV_1082,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
ASV_1083,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium
ASV_1084,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,<not present>,<not present>
ASV_1085,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_1086,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,<not present>
ASV_1087,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,<not present>,<not present>
ASV_1088,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>
ASV_1089,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,<not present>
ASV_109,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
ASV_1090,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus
ASV_1091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
ASV_1092,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Peptoniphilus
ASV_1093,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum
ASV_1094,Bacteria,Actinobacteriota,Actinobacteria,<not present>,<not present>,<not present>
ASV_1095,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1096,Bacteria,Firmicutes,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,Caldicoprobacter
ASV_1097,Bacteria,Actinobacteriota,<not present>,<not present>,<not present>,<not present>
ASV_1098,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,<not present>
ASV_1099,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tepidimicrobium
ASV_11,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV_110,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-006
ASV_1100,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Gallicola
ASV_1101,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
ASV_1102,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum
ASV_1103,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,<not present>
ASV_1104,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
ASV_1105,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis
ASV_1106,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,<not present>
ASV_1107,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
ASV_1108,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Alkaliphilus,<not present>
ASV_1109,Bacteria,Firmicutes,Bacilli,Bacillales,<not present>,<not present>
ASV_111,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus
ASV_1110,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus
ASV_1111,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV_1112,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group
ASV_1113,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,<not present>
ASV_1114,Bacteria,Actinobacteriota,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces
ASV_1115,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1116,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella
ASV_1117,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Sinibacillus
ASV_1118,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
ASV_1119,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_112,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1120,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus
ASV_1121,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1122,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella
ASV_1123,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna
ASV_1124,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,<not present>,<not present>
ASV_1125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>
ASV_1126,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1127,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Saccharibacillus
ASV_1128,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia
ASV_1129,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV_113,Bacteria,Firmicutes,Bacilli,RF39,<not present>,<not present>
ASV_1130,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV_1131,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella
ASV_1132,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
ASV_1133,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1134,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter
ASV_1135,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea
ASV_1136,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ASV_1137,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paeniclostridium
ASV_1138,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,<not present>
ASV_1139,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales Incertae Sedis,<not present>
ASV_114,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>
ASV_1140,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes
ASV_1141,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV_1142,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
ASV_1143,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria
ASV_1144,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,<not present>
ASV_1145,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Jeotgalicoccus
ASV_1146,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
ASV_1147,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
ASV_1148,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>
ASV_1149,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
ASV_115,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas
ASV_1150,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Saccharibacillus
ASV_1151,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna
ASV_1152,Bacteria,Firmicutes,Clostridia,Eubacteriales,Alkalibaculum,<not present>
ASV_1153,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV_1154,Bacteria,Firmicutes,Bacilli,RF39,<not present>,<not present>
ASV_1155,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter
ASV_1156,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1157,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1158,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,<not present>
ASV_1159,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus
ASV_116,Bacteria,Firmicutes,Bacilli,RF39,<not present>,<not present>
ASV_1160,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
ASV_1161,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter
ASV_1162,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Anaerospora
ASV_1163,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,<not present>
ASV_1164,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,<not present>
ASV_1165,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>
ASV_1166,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter
ASV_1167,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
ASV_1168,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV_1169,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,<not present>,<not present>
ASV_117,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575
ASV_1170,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1171,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1172,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus
ASV_1173,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
ASV_1174,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
ASV_1175,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium
ASV_1176,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,<not present>
ASV_1177,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1178,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum
ASV_1179,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
ASV_118,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium
ASV_1180,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
ASV_1181,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella
ASV_1182,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,<not present>,<not present>
ASV_1183,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Hungateiclostridium
ASV_1184,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Friedmanniella
ASV_1185,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas
ASV_1186,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
ASV_1187,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
ASV_1188,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Saccharibacillus
ASV_1189,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,<not present>
ASV_119,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,<not present>,<not present>
ASV_1190,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1191,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_1192,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,<not present>
ASV_1193,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
ASV_1194,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
ASV_1195,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tepidimicrobium
ASV_1196,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
ASV_1197,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga
ASV_1198,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1199,Bacteria,Actinobacteriota,Actinobacteria,<not present>,<not present>,<not present>
ASV_12,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,<not present>,<not present>
ASV_120,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,<not present>
ASV_1200,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Citricoccus
ASV_1201,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Cerasibacillus
ASV_1202,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>
ASV_1203,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora
ASV_1204,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,<not present>
ASV_1205,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus
ASV_1206,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,<not present>
ASV_1207,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,<not present>
ASV_1208,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tepidimicrobium
ASV_1209,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Alkaliphilus,<not present>
ASV_121,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,<not present>,<not present>
ASV_1210,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
ASV_1211,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
ASV_1212,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
ASV_1213,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV_1214,Bacteria,Firmicutes,Bacilli,Bacillales,<not present>,<not present>
ASV_1215,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tepidimicrobium
ASV_1216,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV_1217,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Helcococcus
ASV_1218,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
ASV_1219,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
ASV_122,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV_1220,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
ASV_1221,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Peptoniphilus
ASV_1222,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV_1223,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia
ASV_1224,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV_1225,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
ASV_1226,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella
ASV_1227,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
ASV_1228,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
ASV_1229,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] gnavus group
ASV_123,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>
ASV_1230,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
ASV_1231,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter
ASV_1232,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes
ASV_1233,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
ASV_1234,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
